Compound,Positive,Negative,Neutral,dt
0.3382569105691056,0.15023577235772365,0.016869918699186994,0.8329105691056911,2020-01-12
0.29284916666666644,0.13649166666666673,0.023502083333333333,0.8400020833333333,2020-01-13
0.27641942857142865,0.12866666666666662,0.027217142857142846,0.8441257142857135,2020-01-14
0.2644362173038228,0.13451307847082497,0.02693762575452716,0.8385452716297783,2020-01-15
0.25965197255574596,0.12804631217838758,0.03082504288164664,0.8394202401372209,2020-01-16
0.27709999999999974,0.13292490118577072,0.02581818181818182,0.8392885375494061,2020-01-17
0.3857373684210524,0.17193157894736844,0.012326315789473682,0.8157473684210528,2020-01-18
0.29443202247191,0.13875842696629218,0.019106741573033714,0.842168539325843,2020-01-19
0.2682430793157075,0.14071073094867823,0.03344167962674962,0.8258553654743391,2020-01-20
0.21950547730829403,0.1165571205007825,0.03171987480438185,0.8517261345852889,2020-01-21
0.23609110473457695,0.13550789096126253,0.03754088952654232,0.8269512195121946,2020-01-22
0.24988478915662657,0.13058433734939773,0.030793674698795164,0.8386129518072282,2020-01-23
0.22229706457925616,0.11386301369863021,0.031765166340508806,0.8543659491193731,2020-01-24
0.2747728476821193,0.1352582781456954,0.020596026490066227,0.8441589403973513,2020-01-25
0.28126883116883117,0.13131818181818186,0.018038961038961042,0.8506428571428573,2020-01-26
0.2588638497652584,0.13566823161189379,0.029532081377151805,0.8348075117370889,2020-01-27
0.24568714043993237,0.12672419627749582,0.025637901861252102,0.8476345177664965,2020-01-28
0.2516201331114809,0.13100499168053234,0.030078202995008303,0.8389184692179689,2020-01-29
0.2457382258064516,0.13903225806451633,0.03381935483870971,0.8271403225806447,2020-01-30
0.2421847396768399,0.1235296229802514,0.02903411131059245,0.8474236983842005,2020-01-31
0.2239005174644242,0.13308408796895216,0.03509314359637773,0.8318188874514867,2020-02-01
0.18962464454976302,0.11383412322274883,0.030777251184834122,0.8553791469194315,2020-02-02
0.2469614481408999,0.13008610567514675,0.030837573385518596,0.8390841487279848,2020-02-03
0.2556481832543444,0.13502211690363358,0.029505529225908378,0.8354755134281199,2020-02-04
0.24984843137254872,0.12158823529411761,0.02445294117647058,0.8539509803921571,2020-02-05
0.2506264610389611,0.13263149350649367,0.027527597402597404,0.8398409090909087,2020-02-06
0.2589577878103834,0.12807223476297966,0.02399774266365689,0.8479458239277657,2020-02-07
0.2608384615384615,0.12960139860139858,0.022587412587412592,0.8477902097902098,2020-02-08
0.2960953757225432,0.1525260115606936,0.023387283236994225,0.8240867052023122,2020-02-09
0.21230085470085455,0.10661752136752138,0.029258547008547,0.8641410256410245,2020-02-10
0.2403721382289415,0.1222138228941686,0.024077753779697626,0.8537213822894167,2020-02-11
0.2614434951456312,0.12652815533980596,0.026935922330097072,0.8465145631067957,2020-02-12
0.2461174603174602,0.11812169312169316,0.029343915343915335,0.8525467372134039,2020-02-13
0.23835380228136843,0.13127566539923954,0.034159695817490496,0.834553231939164,2020-02-14
0.23932611111111107,0.1343055555555555,0.027083333333333338,0.8385888888888892,2020-02-15
0.28499848484848483,0.1457272727272728,0.034909090909090904,0.8193712121212121,2020-02-16
0.21945573770491797,0.11556466302367942,0.024990892531876134,0.8594444444444435,2020-02-17
0.24268157503714707,0.12630312035661226,0.029827637444279353,0.8438677563150061,2020-02-18
0.23893233215547666,0.11562367491166073,0.02420318021201413,0.8601713780918722,2020-02-19
0.2444741134751769,0.1159698581560284,0.022320921985815596,0.8617109929078015,2020-02-20
0.24333312499999993,0.12290625,0.022574999999999994,0.8545437499999998,2020-02-21
0.2791205128205129,0.1137521367521368,0.01865811965811966,0.8675897435897437,2020-02-22
0.16997348484848493,0.09828030303030301,0.022250000000000002,0.8794545454545458,2020-02-23
0.20754518272425218,0.11437541528239205,0.03417109634551494,0.8514617940199334,2020-02-24
0.22664454545454504,0.12060727272727284,0.03166181818181817,0.8477363636363631,2020-02-25
0.24305787923416744,0.11725331369661274,0.02964506627393225,0.8531075110456552,2020-02-26
0.21938598901098888,0.11956730769230756,0.036178571428571414,0.8442568681318682,2020-02-27
0.18547700680272086,0.11762993197278912,0.03866394557823128,0.8437238095238091,2020-02-28
0.2510285714285714,0.12536571428571436,0.03825714285714286,0.8363428571428572,2020-02-29
0.21771030927835047,0.12752061855670097,0.0325,0.8399793814432989,2020-03-01
0.2330714285714287,0.12104857142857137,0.029227142857142847,0.8497314285714281,2020-03-02
0.22679073482428103,0.11712460063897767,0.0310591054313099,0.8518083067092639,2020-03-03
0.25663730994152056,0.13636842105263158,0.0371251461988304,0.8265099415204682,2020-03-04
0.25749656121045433,0.1316478679504814,0.027709766162310866,0.8406409903713881,2020-03-05
0.2191901373283395,0.12077777777777773,0.03928089887640451,0.8399163545568035,2020-03-06
0.24053428571428576,0.12031904761904756,0.03445714285714286,0.8452047619047622,2020-03-07
0.21704876847290633,0.11762561576354678,0.024935960591132997,0.8574778325123148,2020-03-08
0.19438325183374067,0.12314669926650362,0.043690709046454765,0.8331601466992665,2020-03-09
0.23238801843317977,0.11979723502304147,0.029705069124423972,0.8504930875576036,2020-03-10
0.20001426202321676,0.11469651741293535,0.036285240464344955,0.8490215588723045,2020-03-11
0.1842353798126951,0.11622788761706558,0.0417845993756504,0.8419916753381891,2020-03-12
0.222402657004831,0.12994927536231882,0.044614734299516894,0.825434782608695,2020-03-13
0.26511650485436894,0.12539805825242714,0.02957281553398058,0.8450388349514565,2020-03-14
0.20745294117647065,0.1222941176470588,0.03358088235294118,0.8441176470588236,2020-03-15
0.19859844020797218,0.1152824956672443,0.03836741767764296,0.8463414211438473,2020-03-16
0.24331438240270703,0.12370896785109982,0.033852791878172576,0.8424433164128586,2020-03-17
0.19719322250639373,0.12165473145780059,0.04809462915601027,0.8302531969309468,2020-03-18
0.2212041310541307,0.12822364672364664,0.03682763532763534,0.8349529914529907,2020-03-19
0.2318479204339962,0.12458589511754069,0.037166365280289326,0.8382405063291144,2020-03-20
0.29587333333333327,0.1331888888888889,0.02929444444444445,0.8375333333333335,2020-03-21
0.20463780487804886,0.12399390243902438,0.036524390243902444,0.8394756097560976,2020-03-22
0.18871784338895972,0.12039024390243892,0.046116816431322205,0.8334775353016681,2020-03-23
0.19938330308529928,0.11087477313974589,0.0349310344827586,0.8541923774954621,2020-03-24
0.2602635416666665,0.1347187500000001,0.02959523809523811,0.8342038690476181,2020-03-25
0.2427278350515464,0.12097790868924882,0.02728129602356406,0.8517363770250365,2020-03-26
0.20029940209267535,0.11671300448430483,0.038648729446935724,0.8446442451420011,2020-03-27
0.2647382857142857,0.12506857142857136,0.022548571428571425,0.8523771428571427,2020-03-28
0.2680516556291391,0.13547682119205304,0.02099337748344371,0.8435496688741722,2020-03-29
